LOCATION_GID,LOCATION_XID,LOCATION_NAME,CITY,PROVINCE,PROVINCE_CODE,POSTAL_CODE,COUNTRY_CODE3_GID,ZONE1,ZONE2,ZONE3,TIME_ZONE_GID,LAT,LON
LFL/TMS/PHL.27129,27129,PLASTIC ATBP,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.67184,121.01854
LFL/TMS/PHL.100100821,100100821,BHAGWAN WATER HEATER,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.50602,121.025
LFL/TMS/PHL.100070384,100070384,AUTOLUBE CORPORATION,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.73579,121.06643
LFL/TMS/PHL.13084,13084,NEWPORT ELECTRONICS TRADING,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60057,120.98337
LFL/TMS/PHL.100084192,100084192,ROG PHILIPPINES,PASIG,NCR,PH-00,1600,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.59127,121.05984
LFL/TMS/PHL.100035299,100035299,CTKCUA88,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60511,120.97621
LFL/TMS/PHL.1000113377,1000113377,BLURAMS,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.59944,120.97878
LFL/TMS/PHL.23369,23369,MOTOZILLA,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66018,121.01699
LFL/TMS/PHL.535,535,TACTICS WATER GEAR (OFFICIAL),QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61173,121.01797
LFL/TMS/PHL.25715,25715,MAKEE ELECTRONICS,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60024,120.98311
LFL/TMS/PHL.13381,13381,SEVENTH GENERATION HOME & FAMILY SOLUTIONS,SAN JUAN CITY,NCR,PH-00,1500,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6045,121.05308
LFL/TMS/PHL.100157651,100157651,EFEQ PH,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6031,120.97458
LFL/TMS/PHL.24266,24266,KRIZNA OUTDOOR,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.72695,121.11493
LFL/TMS/PHL.14783,14783,RJ GUITAR CENTER,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.7357,121.06201
LFL/TMS/PHL.1000112024,1000112024,FASHION TRENDY SHOP,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6035,120.97154
LFL/TMS/PHL.8944,8944,PEARL PANDA,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6092,120.97632
LFL/TMS/PHL.100106262,100106262,OIL SHACK,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60421,120.97729
LFL/TMS/PHL.4977,4977,RONROX CORPORATION,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.64352,120.98262
LFL/TMS/PHL.100148360,100148360,FUNDADOR,MAKATI,NCR,PH-00,1200,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.56444,121.01445
LFL/TMS/PHL.100109629,100109629,SAMSUNG MONITORS BY PCWORX,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62463,121.03919
